InputCurrent BandgapControl RampGain OpAmpGain ResistorIdx ADCvalue
2.07848e-06 0 0 3 3 82
2.11124e-06 0 0 3 3 84
2.14479e-06 0 0 3 3 86
2.17755e-06 0 0 3 3 83
2.21031e-06 0 0 3 3 83
2.24387e-06 0 0 3 3 84
2.27663e-06 0 0 3 3 86
2.30943e-06 0 0 3 3 84
2.34239e-06 0 0 3 3 85
2.37535e-06 0 0 3 3 82
2.40831e-06 0 0 3 3 85
2.44127e-06 0 0 3 3 82
2.47499e-06 0 0 3 3 84
2.50775e-06 0 0 3 3 83
2.54051e-06 0 0 3 3 84
2.57327e-06 0 0 3 3 84
2.60683e-06 0 0 3 3 83
2.63959e-06 0 0 3 3 84
2.67235e-06 0 0 3 3 82
2.70591e-06 0 0 3 3 85
2.73867e-06 0 0 3 3 82
2.77143e-06 0 0 3 3 82
2.80499e-06 0 0 3 3 84
2.83775e-06 0 0 3 3 82
2.8705e-06 0 0 3 3 83
2.90326e-06 0 0 3 3 84
2.93682e-06 0 0 3 3 86
2.96958e-06 0 0 3 3 82
3.00234e-06 0 0 3 3 85
3.0359e-06 0 0 3 3 86
3.06866e-06 0 0 3 3 83
3.10142e-06 0 0 3 3 84
3.13498e-06 0 0 3 3 84
3.16774e-06 0 0 3 3 84
3.2005e-06 0 0 3 3 86
3.23326e-06 0 0 3 3 83
3.26682e-06 0 0 3 3 84
-nan 0 0 3 3 80
0 0 0 4 3 82
3.22549e-08 0 0 4 3 82
6.54314e-08 0 0 4 3 82
9.86078e-08 0 0 4 3 82
1.31784e-07 0 0 4 3 81
1.64961e-07 0 0 4 3 81
1.97529e-07 0 0 4 3 82
2.30882e-07 0 0 4 3 81
2.63441e-07 0 0 4 3 81
2.96794e-07 0 0 4 3 82
3.29353e-07 0 0 4 3 81
3.62706e-07 0 0 4 3 81
3.95265e-07 0 0 4 3 82
4.28618e-07 0 0 4 3 82
4.61971e-07 0 0 4 3 82
4.94529e-07 0 0 4 3 82
5.27882e-07 0 0 4 3 80
5.60441e-07 0 0 4 3 82
5.93794e-07 0 0 4 3 81
6.26353e-07 0 0 4 3 81
6.59706e-07 0 0 4 3 82
6.92377e-07 0 0 4 3 82
7.25936e-07 0 0 4 3 81
7.58696e-07 0 0 4 3 82
7.91456e-07 0 0 4 3 82
8.24216e-07 0 0 4 3 81
8.57775e-07 0 0 4 3 82
8.90534e-07 0 0 4 3 82
9.23294e-07 0 0 4 3 80
9.56853e-07 0 0 4 3 82
9.89613e-07 0 0 4 3 82
1.02237e-06 0 0 4 3 81
1.05593e-06 0 0 4 3 80
1.08869e-06 0 0 4 3 82
1.12145e-06 0 0 4 3 82
1.15421e-06 0 0 4 3 81
1.18762e-06 0 0 4 3 80
1.22097e-06 0 0 4 3 80
1.25353e-06 0 0 4 3 81
1.28688e-06 0 0 4 3 82
1.31944e-06 0 0 4 3 82
1.35297e-06 0 0 4 3 82
1.38573e-06 0 0 4 3 81
1.41849e-06 0 0 4 3 82
1.45125e-06 0 0 4 3 82
1.4848e-06 0 0 4 3 82
1.51756e-06 0 0 4 3 82
1.55032e-06 0 0 4 3 82
1.58388e-06 0 0 4 3 81
1.61664e-06 0 0 4 3 81
1.6494e-06 0 0 4 3 82
1.68235e-06 0 0 4 3 82
1.71531e-06 0 0 4 3 82
1.74827e-06 0 0 4 3 81
1.78124e-06 0 0 4 3 82
1.8142e-06 0 0 4 3 82
1.84756e-06 0 0 4 3 81
1.88091e-06 0 0 4 3 82
1.91347e-06 0 0 4 3 82
1.94682e-06 0 0 4 3 81
1.9794e-06 0 0 4 3 81
2.01296e-06 0 0 4 3 81
2.04572e-06 0 0 4 3 80
2.07848e-06 0 0 4 3 82
2.11124e-06 0 0 4 3 82
2.14479e-06 0 0 4 3 83
2.17755e-06 0 0 4 3 81
2.21031e-06 0 0 4 3 82
2.24387e-06 0 0 4 3 82
2.27663e-06 0 0 4 3 82
2.30943e-06 0 0 4 3 81
2.34239e-06 0 0 4 3 81
2.37535e-06 0 0 4 3 81
2.40831e-06 0 0 4 3 82
2.44127e-06 0 0 4 3 80
2.47499e-06 0 0 4 3 82
2.50775e-06 0 0 4 3 82
2.54051e-06 0 0 4 3 82
2.57327e-06 0 0 4 3 82
2.60683e-06 0 0 4 3 81
2.63959e-06 0 0 4 3 81
2.67235e-06 0 0 4 3 82
2.70591e-06 0 0 4 3 82
2.73867e-06 0 0 4 3 80
2.77143e-06 0 0 4 3 82
2.80499e-06 0 0 4 3 83
2.83775e-06 0 0 4 3 81
2.8705e-06 0 0 4 3 81
2.90326e-06 0 0 4 3 82
2.93682e-06 0 0 4 3 82
2.96958e-06 0 0 4 3 82
3.00234e-06 0 0 4 3 82
3.0359e-06 0 0 4 3 82
3.06866e-06 0 0 4 3 82
3.10142e-06 0 0 4 3 81
3.13498e-06 0 0 4 3 82
3.16774e-06 0 0 4 3 82
3.2005e-06 0 0 4 3 82
3.23326e-06 0 0 4 3 82
3.26682e-06 0 0 4 3 81
-nan 0 0 4 3 81
0 0 0 5 3 81
3.22549e-08 0 0 5 3 80
6.54314e-08 0 0 5 3 80
9.86078e-08 0 0 5 3 82
1.31784e-07 0 0 5 3 81
1.64961e-07 0 0 5 3 80
1.97529e-07 0 0 5 3 81
2.30882e-07 0 0 5 3 80
2.63441e-07 0 0 5 3 80
2.96794e-07 0 0 5 3 82
3.29353e-07 0 0 5 3 81
3.62706e-07 0 0 5 3 80
3.95265e-07 0 0 5 3 82
4.28618e-07 0 0 5 3 82
4.61971e-07 0 0 5 3 82
4.94529e-07 0 0 5 3 81
