timestr I2C_SuccessRate
4167445807 0.32
4173792482 0.35
4180125175 0.31
4186452264 0.28
4192804960 0.35
4199084114 0.3
4205410327 0.36
4211746447 0.31
4218069319 0.34
4224267504 0.24
4230494656 0.29
4236896113 0.35
4243177175 0.31
4249521633 0.32
4255789186 0.28
4262081294 0.28
4268330808 0.38
4274690791 0.3
4280912018 0.23
4287186112 0.25
4293399331 0.26
4299779090 0.34
4306112264 0.32
4312495960 0.34
4318945236 0.38
4325301352 0.34
4331559568 0.29
4337767618 0.33
4344189242 0.34
4350373757 0.19
4356746668 0.35
4363091872 0.32
4369398218 0.29
4375687633 0.36
4381986469 0.3
4388237503 0.29
4394478577 0.31
4400750655 0.27
4407020935 0.33
4413416567 0.35
4419636793 0.28
4425950961 0.35
4432196112 0.29
4438515353 0.3
4444804655 0.32
4451194351 0.37
4457493569 0.3
4463919023 0.35
4470195350 0.31
4476412602 0.27
4482598112 0.25
4488952937 0.38
4495164112 0.26
4501378583 0.3
4507736330 0.39
4513927871 0.31
4520268960 0.35
4526616274 0.34
4532987045 0.37
4539237325 0.3
4545489232 0.29
4551841808 0.3
4558034255 0.26
4564320655 0.31
4570637351 0.27
4576867633 0.31
4583205645 0.34
4589551655 0.34
4595718870 0.24
4601952268 0.3
4608286112 0.33
4614651959 0.34
4620979483 0.34
4627135414 0.27
4633583026 0.33
4639735416 0.24
4645898178 0.22
4652208557 0.3
4658445778 0.31
4664737216 0.33
4670969427 0.27
4677205564 0.35
4683573012 0.35
4689886114 0.33
4696130350 0.31
4702595112 0.41
4708804506 0.26
4715093720 0.33
4721375959 0.31
4727653031 0.32
4734035131 0.34
4740235800 0.27
4746477795 0.27
4752758174 0.31
4758968239 0.26
4765163350 0.29
4771454180 0.28
4777659712 0.28
4783992795 0.33
4790189932 0.31
4796372024 0.23
4802651243 0.3
4808847324 0.24
4815238719 0.39
4821595808 0.38
4827916872 0.32
4834044527 0.23
4840367292 0.36
4846823665 0.42
4853065570 0.25
4859429966 0.38
4865725880 0.33
4871951807 0.27
4878273112 0.29
4884522501 0.29
4890813708 0.34
4897167415 0.36
4903426989 0.27
4909774000 0.3
4916007263 0.26
4922405809 0.4
4928589504 0.22
4934906235 0.3
4941284871 0.36
4947733633 0.4
4953962328 0.25
4960279486 0.31
4966483724 0.22
4972841808 0.33
4979054110 0.27
4985159872 0.18
4991453693 0.32
4997743567 0.3
5004025235 0.26
5010225753 0.28
5016456721 0.25
5022830935 0.31
5029195265 0.26
5035385184 0.26
5041626352 0.3
5047872957 0.28
5054235961 0.29
5060468110 0.29
5066731686 0.32
5073020567 0.34
5079342417 0.32
5085649437 0.3
5091984937 0.34
5098219964 0.29
5104363639 0.22
5110751593 0.32
5117102480 0.33
5123394639 0.34
5129641879 0.32
