time coil
1.56736e-05 -1.5748
1.568e-05 -1.5748
1.56864e-05 0
1.56928e-05 -1.5748
1.56992e-05 0
1.57056e-05 0
1.5712e-05 -1.5748
1.57184e-05 -1.5748
1.57248e-05 -1.5748
1.57312e-05 -1.5748
1.57376e-05 -1.5748
1.5744e-05 0
1.57504e-05 -3.14961
1.57568e-05 -3.14961
1.57632e-05 0
1.57696e-05 -1.5748
1.5776e-05 -1.5748
1.57824e-05 1.5748
1.57888e-05 -3.14961
1.57952e-05 -3.14961
1.58016e-05 0
1.5808e-05 -3.14961
1.58144e-05 -3.14961
1.58208e-05 0
1.58272e-05 -1.5748
1.58336e-05 -3.14961
1.584e-05 0
1.58464e-05 0
1.58528e-05 -4.72441
1.58592e-05 0
1.58656e-05 -1.5748
1.5872e-05 -3.14961
1.58784e-05 0
1.58848e-05 -1.5748
1.58912e-05 -3.14961
1.58976e-05 0
1.5904e-05 -1.5748
1.59104e-05 -3.14961
1.59168e-05 0
1.59232e-05 -1.5748
1.59296e-05 -3.14961
1.5936e-05 -1.5748
1.59424e-05 -1.5748
1.59488e-05 0
1.59552e-05 -1.5748
1.59616e-05 0
1.5968e-05 -1.5748
1.59744e-05 -3.14961
1.59808e-05 0
1.59872e-05 0
1.59936e-05 -3.14961
1.6e-05 0
1.60064e-05 0
1.60128e-05 -3.14961
1.60192e-05 0
1.60256e-05 -1.5748
1.6032e-05 -1.5748
1.60384e-05 0
1.60448e-05 0
1.60512e-05 -1.5748
1.60576e-05 -1.5748
1.6064e-05 0
1.60704e-05 -1.5748
1.60768e-05 -1.5748
1.60832e-05 0
1.60896e-05 -1.5748
1.6096e-05 -1.5748
1.61024e-05 1.5748
1.61088e-05 -1.5748
1.61152e-05 -1.5748
1.61216e-05 1.5748
1.6128e-05 -1.5748
1.61344e-05 -1.5748
1.61408e-05 0
1.61472e-05 -1.5748
1.61536e-05 -1.5748
1.616e-05 0
1.61664e-05 -1.5748
1.61728e-05 -1.5748
1.61792e-05 -1.5748
1.61856e-05 1.5748
1.6192e-05 -3.14961
1.61984e-05 1.5748
1.62048e-05 0
1.62112e-05 -4.72441
1.62176e-05 3.14961
1.6224e-05 0
1.62304e-05 -1.5748
1.62368e-05 3.14961
1.62432e-05 -3.14961
1.62496e-05 -1.5748
1.6256e-05 -1.5748
1.62624e-05 -1.5748
1.62688e-05 -1.5748
1.62752e-05 0
1.62816e-05 -1.5748
1.6288e-05 -1.5748
1.62944e-05 -1.5748
1.63008e-05 0
1.63072e-05 -3.14961
1.63136e-05 0
1.632e-05 0
1.63264e-05 -3.14961
1.63328e-05 -1.5748
1.63392e-05 -1.5748
1.63456e-05 -1.5748
1.6352e-05 -1.5748
1.63584e-05 -1.5748
