AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_B06,LEFT,0,3,14,1.306364908594258e-05,-0.0014694660414072,-0.38639092724504487,143.1225233264697
AMAC_B06,LEFT,0,3,15,1.306767898718939e-05,-0.0014698306882181505,-0.3794022434266351,142.2428073394314
AMAC_B06,LEFT,1,0,0,4.086456464594231e-08,-3.723700364800564e-06,-0.11135363019409114,100.0000987108535
AMAC_B06,LEFT,1,0,1,1.1897909273990895e-07,-1.1010283202037967e-05,-0.135463754479338,1742.45538585194
AMAC_B06,LEFT,1,0,2,9.251622093297242e-07,-8.650176809930221e-05,-0.12168106312038132,91.49484792169719
AMAC_B06,LEFT,1,0,3,1.0156906675752127e-06,-9.494580617592098e-05,-0.12395759950172268,55.80301289853001
AMAC_B06,LEFT,1,0,4,4.319604273595537e-06,-0.00040362581852446583,-0.12474721592381986,61.83917125699856
AMAC_B06,LEFT,1,0,5,4.405749990627884e-06,-0.00041158077248342487,-0.1248424805981413,62.070258828266326
AMAC_B06,LEFT,1,0,6,5.211042191561844e-06,-0.0004871737006273056,-0.12508212407890326,62.155230933385255
AMAC_B06,LEFT,1,0,7,5.29362276479099e-06,-0.0004946569820652683,-0.12523830104893544,62.35159026124632
AMAC_B06,LEFT,1,0,8,9.552279134257686e-06,-0.000893166034331961,-0.12625672103533395,61.21856162166639
AMAC_B06,LEFT,1,0,9,9.612225162902365e-06,-0.0008980040824359179,-0.12708088816830662,62.141418406623266
AMAC_B06,LEFT,1,0,10,1.1417891773214985e-05,-0.0010605636055433208,-0.4563938265284104,211.10379894815173
AMAC_B06,LEFT,1,0,11,1.1564421210764887e-05,-0.0010741255258208651,-0.46735235271234227,208.54633204299873
AMAC_B06,LEFT,1,0,12,1.4763203633739053e-05,-0.0013724377361068775,-0.3916317619216983,156.37562035645982
AMAC_B06,LEFT,1,0,13,1.4826170821378852e-05,-0.0013784491993040502,-0.38501453310801176,154.23692492059797
AMAC_B06,LEFT,1,0,14,1.5620967388702574e-05,-0.0014525793003024102,-0.3740323509456811,144.5594159997498
AMAC_B06,LEFT,1,0,15,1.575189776579161e-05,-0.0014653517948985644,-0.3750545320111537,144.65041784686986
AMAC_B06,LEFT,1,1,0,1.794995706174681e-08,-3.4181154539403675e-06,-0.16892568204890618,1.8548332854350554e-05
AMAC_B06,LEFT,1,1,1,5.088252618538085e-08,-1.0399918630387321e-05,-0.1068220955720247,0.031072751568890666
AMAC_B06,LEFT,1,1,2,4.009073861614755e-07,-8.423094259933859e-05,-0.12267827942541665,48.79717440919368
AMAC_B06,LEFT,1,1,3,3.783231021972626e-07,-7.919953186919257e-05,-0.12383675965247777,1637.5254339423557
AMAC_B06,LEFT,1,1,4,1.8549163973612338e-06,-0.00038885886661034057,-0.11589482813495075,54.351253227431165
