AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_C01,LEFT,2,0,14,1.5093729497814265e-05,-0.001215491053497268,-0.12477426732807746,67.42248431184207
AMAC_C01,LEFT,2,0,15,1.513966562247002e-05,-0.0012181593063163778,-0.1250551135552662,67.70547559409253
AMAC_C01,LEFT,2,1,0,2.1041273986560543e-08,6.70642017043966e-06,-10.105967282958964,98.60925446149038
AMAC_C01,LEFT,2,1,1,6.010563019835144e-08,-9.618257454429154e-06,-0.10851558590340152,381.47560884513507
AMAC_C01,LEFT,2,1,2,4.070464193876841e-07,-6.570258381511393e-05,-0.118308575921186,1321.613657185726
AMAC_C01,LEFT,2,1,3,4.323499505452098e-07,-6.976158183216143e-05,-0.1189059261475319,1650.7396917085873
AMAC_C01,LEFT,2,1,4,2.1567784555864125e-06,-0.0003479031813808123,-0.15638687313294375,103.40189870501032
AMAC_C01,LEFT,2,1,5,2.196048192955213e-06,-0.0003543494384812824,-0.15240688502159022,102.17873071664184
AMAC_C01,LEFT,2,1,6,2.592059039952373e-06,-0.00041862958359279427,-0.1471687940267204,92.61121421557763
AMAC_C01,LEFT,2,1,7,2.6362145585992033e-06,-0.00042585431623577924,-0.1474291867307044,92.6400270142173
AMAC_C01,LEFT,2,1,8,4.674785869206721e-06,-0.0007555528888437749,-0.12036437109540413,66.9474652223615
AMAC_C01,LEFT,2,1,9,4.723894474170953e-06,-0.0007635663834882558,-0.12022186598228951,66.46047626630234
AMAC_C01,LEFT,2,1,10,5.119919732711591e-06,-0.0008275370596610549,-0.12174787549102656,67.38585458688502
AMAC_C01,LEFT,2,1,11,5.163498335435128e-06,-0.0008346597634329334,-0.12159110917123858,67.30574219827514
AMAC_C01,LEFT,2,1,12,6.797587106790132e-06,-0.0010991770589581984,-0.12326848417471095,68.3912302106357
AMAC_C01,LEFT,2,1,13,6.849894726784904e-06,-0.0011072650757922358,-0.12321894009990463,67.77746056643714
AMAC_C01,LEFT,2,1,14,7.218891268502683e-06,-0.001166927571558933,-0.12334005806736582,68.32178131697152
AMAC_C01,LEFT,2,1,15,7.257597050753112e-06,-0.0011734865797161879,-0.12307073230360484,68.36653734087396
AMAC_C01,LEFT,2,2,0,3.352020686438675e-08,-3.2230914187898774e-06,-0.10905560739923734,100.00009917986146
AMAC_C01,LEFT,2,2,1,9.7605862440858e-08,-9.61993152284885e-06,-0.11406512105232877,743.0348643991678
AMAC_C01,LEFT,2,2,2,7.543313865323725e-07,-7.549837166115762e-05,-0.11937529545243866,106.88556858148105
